Division,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,Referee,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFoulsCommitted,AwayFoulsCommitted,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,half_result_code,match_result_code,match_year,match_month,match_weekday,season,home_prob,draw_prob,away_prob
Premier League,2016-08-13,Burnley,Swansea,0,1,AwayWin,0.0,0.0,Draw,J Moss,10.0,17.0,3.0,9.0,10.0,14.0,7.0,4.0,3.0,2.0,0.0,0.0,2.4,3.3,3.25,1,2,2016,August,Saturday,2016/2017,0.4055587067498582,0.2949517867271696,0.29948950652297224
Premier League,2016-08-13,Crystal Palace,West Brom,0,1,AwayWin,0.0,0.0,Draw,C Pawson,14.0,13.0,4.0,3.0,12.0,15.0,3.0,6.0,2.0,2.0,0.0,0.0,2.0,3.3,4.5,1,2,2016,August,Saturday,2016/2017,0.4876847290640395,0.29556650246305427,0.21674876847290642
Premier League,2016-08-13,Everton,Tottenham,1,1,Draw,1.0,0.0,HomeLead,M Atkinson,12.0,13.0,6.0,4.0,10.0,14.0,5.0,6.0,0.0,0.0,0.0,0.0,3.2,3.4,2.4,0,1,2016,August,Saturday,2016/2017,0.3053892215568862,0.2874251497005988,0.40718562874251496
Premier League,2016-08-13,Hull,Leicester,2,1,HomeWin,1.0,0.0,HomeLead,M Dean,14.0,18.0,5.0,5.0,8.0,17.0,5.0,3.0,2.0,2.0,0.0,0.0,4.5,3.6,1.91,0,0,2016,August,Saturday,2016/2017,0.21710713270815574,0.2713839158851947,0.5115089514066496
Premier League,2016-08-13,Man City,Sunderland,2,1,HomeWin,1.0,0.0,HomeLead,R Madley,16.0,7.0,4.0,3.0,11.0,14.0,9.0,6.0,1.0,2.0,0.0,0.0,1.25,6.5,15.0,0,0,2016,August,Saturday,2016/2017,0.7839195979899497,0.1507537688442211,0.06532663316582914
Premier League,2016-08-13,Middlesbrough,Stoke,1,1,Draw,1.0,0.0,HomeLead,K Friend,12.0,12.0,2.0,1.0,18.0,14.0,9.0,6.0,3.0,5.0,0.0,0.0,2.38,3.2,3.4,0,1,2016,August,Saturday,2016/2017,0.40920716112531963,0.3043478260869565,0.2864450127877238
Premier League,2016-08-13,Southampton,Watford,1,1,Draw,0.0,1.0,AwayLead,R East,24.0,5.0,6.0,1.0,8.0,12.0,6.0,2.0,1.0,2.0,0.0,1.0,1.8,3.75,5.0,2,1,2016,August,Saturday,2016/2017,0.5434782608695653,0.2608695652173913,0.19565217391304351
Premier League,2016-08-14,Arsenal,Liverpool,3,4,AwayWin,1.0,1.0,Draw,M Oliver,9.0,16.0,5.0,7.0,13.0,17.0,5.0,4.0,3.0,3.0,0.0,0.0,2.4,3.5,3.1,1,2,2016,August,Sunday,2016/2017,0.40651929561633576,0.2787560884226302,0.3147246159610341
Premier League,2016-08-14,Bournemouth,Man United,1,3,AwayWin,0.0,1.0,AwayLead,A Marriner,9.0,11.0,3.0,7.0,7.0,10.0,4.0,2.0,0.0,1.0,0.0,0.0,4.75,3.6,1.85,2,2,2016,August,Sunday,2016/2017,0.20462401106075737,0.26999001459405486,0.5253859743451877
Premier League,2016-08-15,Chelsea,West Ham,2,1,HomeWin,0.0,0.0,Draw,A Taylor,16.0,7.0,6.0,3.0,16.0,16.0,7.0,1.0,5.0,2.0,0.0,0.0,1.65,4.0,6.0,1,0,2016,August,Monday,2016/2017,0.5925925925925927,0.24444444444444444,0.16296296296296295
Premier League,2016-08-19,Man United,Southampton,2,0,HomeWin,1.0,0.0,HomeLead,A Taylor,12.0,13.0,5.0,1.0,11.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.53,4.2,7.5,0,0,2016,August,Friday,2016/2017,0.6376389141920205,0.23228274731280743,0.13007833849517217
Premier League,2016-08-20,Burnley,Liverpool,2,0,HomeWin,2.0,0.0,HomeLead,L Mason,3.0,26.0,2.0,5.0,14.0,5.0,1.0,12.0,0.0,1.0,0.0,0.0,6.5,4.2,1.57,0,0,2016,August,Saturday,2016/2017,0.149527200163269,0.23141114310982105,0.6190616567269098
Premier League,2016-08-20,Leicester,Arsenal,0,0,Draw,0.0,0.0,Draw,M Clattenburg,8.0,13.0,1.0,4.0,11.0,7.0,2.0,7.0,1.0,2.0,0.0,0.0,2.88,3.6,2.5,1,1,2016,August,Saturday,2016/2017,0.33875338753387535,0.2710027100271003,0.39024390243902446
Premier League,2016-08-20,Stoke,Man City,1,4,AwayWin,0.0,2.0,AwayLead,M Dean,8.0,12.0,3.0,6.0,12.0,13.0,7.0,7.0,3.0,4.0,0.0,0.0,5.5,3.8,1.73,2,2,2016,August,Saturday,2016/2017,0.1777285138825056,0.2572386385141528,0.5650328476033415
