Division,MatchDate,HomeTeam,AwayTeam,Referee,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeFoulsCommitted,AwayFoulsCommitted,HomeCorners,AwayCorners,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,Bet365_HomeWinOdds,Bet365_DrawOdds,Bet365_AwayWinOdds,half_result_code,match_result_code,match_year,match_month,match_weekday,season,home_prob,draw_prob,away_prob,Division_enc,HomeTeam_enc,AwayTeam_enc,home_team_last5_avg_shots,home_team_last5_avg_shots_on_target,home_team_last5_avg_fouls,home_team_last5_avg_yellow_cards,home_team_last5_avg_red_cards,home_team_last5_win_ratio,home_team_last5_win_count,home_team_last5_draw_count,home_team_last5_draw_ratio,away_team_last5_avg_shots,away_team_last5_avg_shots_on_target,away_team_last5_avg_fouls,away_team_last5_avg_yellow_cards,away_team_last5_avg_red_cards,away_team_last5_win_ratio,away_team_last5_win_count,away_team_last5_draw_count,away_team_last5_draw_ratio,home_team_strength_cat,away_team_strength_cat
Championship,2016-08-05,Fulham,Newcastle,S Hooper,5.0,8.0,3.0,2.0,12.0,11.0,2.0,2.0,1.0,3.0,0.0,0.0,4.0,3.6,2.0,0,0,2016,August,Friday,2016/2017,0.24324324324324326,0.2702702702702703,0.4864864864864865,0,35,53,,,,,,,0,0,,,,,,,,0,0,,,
Championship,2016-08-06,Birmingham,Cardiff,T Robinson,14.0,13.0,3.0,5.0,12.0,16.0,5.0,5.0,1.0,0.0,0.0,0.0,2.38,3.3,3.3,1,1,2016,August,Saturday,2016/2017,0.40942928039702237,0.29528535980148884,0.29528535980148884,0,5,19,,,,,,,0,0,,,,,,,,0,0,,,
Championship,2016-08-06,Rotherham,Wolves,S Duncan,6.0,9.0,3.0,5.0,11.0,8.0,3.0,6.0,2.0,1.0,0.0,1.0,3.0,3.25,2.6,0,1,2016,August,Saturday,2016/2017,0.325,0.30000000000000004,0.375,0,67,87,,,,,,,0,0,,,,,,,,0,0,,,
Championship,2016-08-06,Reading,Preston,A Davies,15.0,7.0,5.0,3.0,13.0,16.0,6.0,1.0,2.0,3.0,0.0,0.0,2.25,3.25,3.6,0,0,2016,August,Saturday,2016/2017,0.4315352697095436,0.29875518672199175,0.26970954356846477,0,65,63,,,,,,,0,0,,,,,,,,0,0,,,
Championship,2016-08-06,Huddersfield,Brentford,G Eltringham,16.0,8.0,7.0,4.0,13.0,9.0,5.0,2.0,1.0,1.0,0.0,0.0,2.2,3.6,3.4,1,0,2016,August,Saturday,2016/2017,0.4428364688856729,0.2706222865412446,0.2865412445730825,0,37,11,,,,,,,0,0,,,,,,,,0,0,,,
Championship,2016-08-06,Derby,Brighton,J Simpson,12.0,16.0,4.0,5.0,13.0,17.0,1.0,7.0,2.0,2.0,0.0,0.0,2.1,3.4,4.0,1,1,2016,August,Saturday,2016/2017,0.46671242278654773,0.2882635552505148,0.24502402196293757,0,29,12,,,,,,,0,0,,,,,,,,0,0,,,
Championship,2016-08-06,Bristol City,Wigan,J Adcock,24.0,11.0,6.0,3.0,7.0,13.0,10.0,2.0,1.0,4.0,0.0,0.0,2.25,3.3,3.6,2,0,2016,August,Saturday,2016/2017,0.43349753694581283,0.29556650246305427,0.27093596059113306,0,13,86,,,,,,,0,0,,,,,,,,0,0,,,
Championship,2016-08-06,Blackburn,Norwich,T Harrington,5.0,12.0,2.0,7.0,9.0,16.0,7.0,3.0,1.0,2.0,0.0,0.0,3.4,3.25,2.38,2,2,2016,August,Saturday,2016/2017,0.28779253636938645,0.30107526881720426,0.4111321948134092,0,6,55,,,,,,,0,0,,,,,,,,0,0,,,
Championship,2016-08-06,Ipswich,Barnsley,K Stroud,9.0,14.0,7.0,5.0,17.0,11.0,5.0,4.0,2.0,3.0,0.0,0.0,2.1,3.4,4.0,1,0,2016,August,Saturday,2016/2017,0.46671242278654773,0.2882635552505148,0.24502402196293757,0,39,4,,,,,,,0,0,,,,,,,,0,0,,,
League One,2016-08-06,Bolton,Sheffield United,R Joyce,8.0,4.0,3.0,0.0,10.0,7.0,2.0,4.0,2.0,1.0,0.0,0.0,2.9,3.3,2.63,0,0,2016,August,Saturday,2016/2017,0.335407327253053,0.29475189364662235,0.3698407791003246,1,8,69,,,,,,,0,0,,,,,,,,0,0,,,
League One,2016-08-06,Bradford,Port Vale,D Deadman,12.0,8.0,1.0,2.0,10.0,15.0,11.0,3.0,0.0,2.0,0.0,0.0,1.73,3.75,5.5,1,1,2016,August,Saturday,2016/2017,0.5631014947785133,0.25977748959115415,0.1771210156303324,1,10,61,,,,,,,0,0,,,,,,,,0,0,,,
Championship,2016-08-06,Nott'm Forest,Burton,A Woolmer,14.0,16.0,4.0,3.0,13.0,8.0,8.0,6.0,2.0,2.0,0.0,0.0,2.05,3.4,4.1,1,0,2016,August,Saturday,2016/2017,0.4755244755244755,0.2867132867132867,0.23776223776223776,0,56,16,,,,,,,0,0,,,,,,,,0,0,,,
League One,2016-08-06,Millwall,Oldham,R East,15.0,8.0,7.0,2.0,14.0,10.0,6.0,3.0,0.0,1.0,0.0,0.0,1.67,3.8,6.0,0,0,2016,August,Saturday,2016/2017,0.5821375682990348,0.25583414185773373,0.16202828984323137,1,50,57,,,,,,,0,0,,,,,,,,0,0,,,
League One,2016-08-06,Northampton,Fleetwood Town,A Haines,9.0,7.0,2.0,3.0,7.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,2.3,3.4,3.4,0,1,2016,August,Saturday,2016/2017,0.425,0.2875,0.2875,1,54,33,,,,,,,0,0,,,,,,,,0,0,,,
League One,2016-08-06,Oxford,Chesterfield,G Ward,16.0,8.0,6.0,5.0,7.0,9.0,3.0,3.0,1.0,2.0,0.0,0.0,2.0,3.5,4.2,0,1,2016,August,Saturday,2016/2017,0.48837209302325585,0.27906976744186046,0.23255813953488372,1,58,24,,,,,,,0,0,,,,,,,,0,0,,,
League One,2016-08-06,Rochdale,Peterboro,D Webb,12.0,9.0,3.0,4.0,6.0,12.0,7.0,4.0,0.0,1.0,0.0,0.0,2.6,3.4,2.9,1,2,2016,August,Saturday,2016/2017,0.3757621951219512,0.28734756097560976,0.33689024390243905,1,66,59,,,,,,,0,0,,,,,,,,0,0,,,
League One,2016-08-06,Scunthorpe,Bristol Rvs,B Toner,12.0,6.0,6.0,3.0,8.0,7.0,11.0,2.0,1.0,2.0,0.0,0.0,2.25,3.4,3.5,2,0,2016,August,Saturday,2016/2017,0.43391066545123064,0.2871467639015497,0.2789425706472197,1,68,14,,,,,,,0,0,,,,,,,,0,0,,,
League One,2016-08-06,Shrewsbury,Milton Keynes Dons,B Malone,11.0,12.0,3.0,4.0,13.0,10.0,2.0,8.0,2.0,2.0,0.0,0.0,2.88,3.4,2.63,1,2,2016,August,Saturday,2016/2017,0.33989144151677786,0.2879080445789177,0.3722005139043043,1,71,51,,,,,,,0,0,,,,,,,,0,0,,,
League One,2016-08-06,Bury,Charlton,N Miller,11.0,9.0,4.0,1.0,11.0,9.0,6.0,5.0,0.0,0.0,0.0,0.0,3.0,3.4,2.5,1,0,2016,August,Saturday,2016/2017,0.3244274809160305,0.28625954198473286,0.3893129770992367,1,17,21,,,,,,,0,0,,,,,,,,0,0,,,
League One,2016-08-06,Southend,Gillingham,D Whitestone,10.0,18.0,4.0,4.0,9.0,11.0,4.0,3.0,0.0,2.0,0.0,0.0,2.5,3.4,3.0,1,2,2016,August,Saturday,2016/2017,0.3893129770992367,0.28625954198473286,0.3244274809160305,1,73,36,,,,,,,0,0,,,,,,,,0,0,,,
League One,2016-08-06,Swindon,Coventry,D Handley,14.0,10.0,3.0,3.0,10.0,14.0,2.0,8.0,1.0,2.0,0.0,0.0,2.9,3.4,2.6,1,0,2016,August,Saturday,2016/2017,0.33689024390243905,0.28734756097560976,0.3757621951219512,1,79,25,,,,,,,0,0,,,,,,,,0,0,,,
League One,2016-08-06,Walsall,AFC Wimbledon,C Breakspear,9.0,10.0,4.0,2.0,13.0,9.0,3.0,2.0,2.0,2.0,0.0,0.0,2.15,3.5,3.6,0,0,2016,August,Saturday,2016/2017,0.4521801543154494,0.27776780907949034,0.2700520366050601,1,82,0,,,,,,,0,0,,,,,,,,0,0,,,
Championship,2016-08-07,Sheffield Weds,Aston Villa,S Martin,17.0,12.0,6.0,2.0,14.0,9.0,12.0,9.0,3.0,3.0,0.0,0.0,2.05,3.3,3.6,1,0,2016,August,Sunday,2016/2017,0.4564841498559078,0.28357348703170027,0.25994236311239194,0,70,3,,,,,,,0,0,,,,,,,,0,0,,,
Championship,2016-08-07,QPR,Leeds,O Langford,15.0,8.0,8.0,0.0,8.0,13.0,5.0,5.0,2.0,1.0,0.0,0.0,2.05,3.3,3.6,0,0,2016,August,Sunday,2016/2017,0.4564841498559078,0.28357348703170027,0.25994236311239194,0,64,40,,,,,,,0,0,,,,,,,,0,0,,,
Championship,2016-08-12,Brighton,Nott'm Forest,A Madley,17.0,14.0,7.0,2.0,19.0,15.0,6.0,7.0,3.0,4.0,0.0,0.0,1.8,3.6,5.25,0,0,2016,August,Friday,2016/2017,0.5426356589147288,0.2713178294573644,0.18604651162790697,0,12,56,16.0,5.0,17.0,2.0,0.0,0.0,0,1,1.0,14.0,4.0,13.0,2.0,0.0,1.0,1,0,0.0,,
Premier League,2016-08-13,Southampton,Watford,R East,24.0,5.0,6.0,1.0,8.0,12.0,6.0,2.0,1.0,2.0,0.0,1.0,1.8,3.75,5.0,2,1,2016,August,Saturday,2016/2017,0.5434782608695653,0.2608695652173913,0.19565217391304351,2,72,83,,,,,,,0,0,,,,,,,,0,0,,,
Premier League,2016-08-13,Middlesbrough,Stoke,K Friend,12.0,12.0,2.0,1.0,18.0,14.0,9.0,6.0,3.0,5.0,0.0,0.0,2.38,3.2,3.4,0,1,2016,August,Saturday,2016/2017,0.40920716112531963,0.3043478260869565,0.2864450127877238,2,49,76,,,,,,,0,0,,,,,,,,0,0,,,
